2023-01-31_13:48:04; file; 17; 0; filename; sorald/target/test-classes/processor_test_files/S2095_UnclosedResources/MultipleCloseablesInSingleTry.java
2023-01-31_13:48:04; file; 17; 0; lines; 24
2023-01-31_13:48:04; file; 17; 0; basename; MultipleCloseablesInSingleTry.java
2023-01-31_13:48:04; file; 17; 0; size; 690
2023-01-31_13:48:04; file; 17; 0; abort; 1_0
2023-01-31_13:48:04; file; 18; 0; filename; sorald/target/test-classes/processor_test_files/S1656_SelfAssignment/SelfAssignement.java
2023-01-31_13:48:04; file; 18; 0; lines; 49
2023-01-31_13:48:04; file; 18; 0; basename; SelfAssignement.java
2023-01-31_13:48:04; file; 18; 0; size; 1038
2023-01-31_13:48:04; file; 18; 0; abort; 1_0
2023-01-31_13:48:04; file; 19; 0; filename; sorald/target/test-classes/processor_test_files/S2755_XxeProcessing/InsecureXMLInputFactoryUsage.java
2023-01-31_13:48:04; file; 19; 0; lines; 17
2023-01-31_13:48:04; file; 19; 0; basename; InsecureXMLInputFactoryUsage.java
2023-01-31_13:48:04; file; 19; 0; size; 797
2023-01-31_13:48:04; file; 19; 0; abort; 1_0
2023-01-31_13:48:04; file; 20; 0; filename; sorald/target/test-classes/processor_test_files/S2755_XxeProcessing/SetFeatureSecureProcessing.java
2023-01-31_13:48:04; file; 20; 0; lines; 19
2023-01-31_13:48:04; file; 20; 0; basename; SetFeatureSecureProcessing.java
2023-01-31_13:48:04; file; 20; 0; size; 875
2023-01-31_13:48:04; file; 20; 0; abort; 1_0
2023-01-31_13:48:04; file; 21; 0; filename; sorald/target/test-classes/processor_test_files/S2755_XxeProcessing/DocumentBuilderChainedLocalVariable.java
2023-01-31_13:48:04; file; 21; 0; lines; 12
2023-01-31_13:48:04; file; 21; 0; basename; DocumentBuilderChainedLocalVariable.java
2023-01-31_13:48:04; file; 21; 0; size; 447
2023-01-31_13:48:04; file; 21; 0; abort; 1_0
2023-01-31_13:48:04; file; 22; 0; filename; sorald/target/test-classes/processor_test_files/S2755_XxeProcessing/DocumentBuilderLocalVariable.java
2023-01-31_13:48:04; file; 22; 0; lines; 13
2023-01-31_13:48:04; file; 22; 0; basename; DocumentBuilderLocalVariable.java
2023-01-31_13:48:04; file; 22; 0; size; 480
2023-01-31_13:48:04; file; 22; 0; abort; 1_0
2023-01-31_13:48:04; file; 23; 0; filename; sorald/target/test-classes/processor_test_files/S2755_XxeProcessing/DocumentBuilderFullyChainedParse.java
2023-01-31_13:48:04; file; 23; 0; lines; 11
2023-01-31_13:48:04; file; 23; 0; basename; DocumentBuilderFullyChainedParse.java
2023-01-31_13:48:04; file; 23; 0; size; 401
2023-01-31_13:48:04; file; 23; 0; abort; 1_0
2023-01-31_13:48:04; file; 24; 0; filename; sorald/target/test-classes/processor_test_files/S2755_XxeProcessing/InsecureTransformerFactoryUsage.java
2023-01-31_13:48:04; file; 24; 0; lines; 17
2023-01-31_13:48:04; file; 24; 0; basename; InsecureTransformerFactoryUsage.java
2023-01-31_13:48:04; file; 24; 0; size; 764
2023-01-31_13:48:04; file; 24; 0; abort; 1_0
2023-01-31_13:48:04; file; 25; 0; filename; sorald/target/test-classes/processor_test_files/S2057_SerialVersionUidCheck/Identifier.java
2023-01-31_13:48:04; file; 25; 0; lines; 8
2023-01-31_13:48:04; file; 25; 0; basename; Identifier.java
2023-01-31_13:48:04; file; 25; 0; size; 155
2023-01-31_13:48:04; file; 25; 0; abort; 1_0
2023-01-31_13:48:04; file; 26; 0; filename; sorald/target/test-classes/processor_test_files/S2057_SerialVersionUidCheck/DefaultExpression.java
2023-01-31_13:48:04; file; 26; 0; lines; 7
2023-01-31_13:48:04; file; 26; 0; basename; DefaultExpression.java
2023-01-31_13:48:04; file; 26; 0; size; 152
2023-01-31_13:48:04; file; 26; 0; abort; 1_0
2023-01-31_13:48:04; file; 27; 0; filename; sorald/target/test-classes/processor_test_files/S2057_SerialVersionUidCheck/NestedInAbstract.java
2023-01-31_13:48:04; file; 27; 0; lines; 11
2023-01-31_13:48:04; file; 27; 0; basename; NestedInAbstract.java
2023-01-31_13:48:04; file; 27; 0; size; 299
2023-01-31_13:48:04; file; 27; 0; abort; 1_0
2023-01-31_13:48:04; file; 28; 0; filename; sorald/target/test-classes/processor_test_files/S2057_SerialVersionUidCheck/NestedInThrowable.java
2023-01-31_13:48:04; file; 28; 0; lines; 12
2023-01-31_13:48:04; file; 28; 0; basename; NestedInThrowable.java
2023-01-31_13:48:04; file; 28; 0; size; 323
2023-01-31_13:48:04; file; 28; 0; abort; 1_0
2023-01-31_13:48:04; file; 29; 0; filename; sorald/target/test-classes/processor_test_files/S2057_SerialVersionUidCheck/NonSerial.java
2023-01-31_13:48:04; file; 29; 0; lines; 5
2023-01-31_13:48:04; file; 29; 0; basename; NonSerial.java
2023-01-31_13:48:04; file; 29; 0; size; 134
2023-01-31_13:48:04; file; 29; 0; abort; 1_0
2023-01-31_13:48:04; file; 30; 0; filename; sorald/target/test-classes/processor_test_files/S2057_SerialVersionUidCheck/SupertypeImplementsSerializable.java
2023-01-31_13:48:04; file; 30; 0; lines; 10
2023-01-31_13:48:04; file; 30; 0; basename; SupertypeImplementsSerializable.java
2023-01-31_13:48:04; file; 30; 0; size; 311
2023-01-31_13:48:04; file; 30; 0; abort; 1_0
2023-01-31_13:48:04; file; 31; 0; filename; sorald/target/test-classes/processor_test_files/S2057_SerialVersionUidCheck/Modifiers.java
