analyzer,D_P,D_R,D_F1,T_P,T_R,T_F1
cdxgen,91.7940978602794,64.01042164182867,72.11944082801536,91.7940978602794,64.01042164182867,72.11944082801536
depscan,91.7940978602794,64.01042164182867,72.11944082801536,91.7940978602794,64.01042164182867,72.11944082801536
jbom,28.797491617144487,22.24086075893527,21.46528763102071,28.797491617144487,22.24086075893527,21.46528763102071
cyclonedx-maven-plugin,91.79487701872593,64.2228716140105,72.24915229610303,91.79487701872593,64.2228716140105,72.24915229610303
openrewrite,95.27532065457763,41.66639088511357,49.70543433138141,95.27532065457763,41.66639088511357,49.70543433138141
build-info-go,93.73481445439565,84.84598954529267,88.00301203559407,93.73481445439565,84.84598954529267,88.00301203559407
