analyzer,D_P,D_R,D_F1,T_P,T_R,T_F1
cdxgen,51.78030303030303,30.502732898570926,35.774650441291215,86.28864893132176,63.59439779823646,69.6551277891436
depscan,61.59060846560846,39.81808462552052,44.007887485032946,86.1716538542845,60.96457110801963,67.63115779954579
jbom,28.006239435502042,40.45256191270231,30.270453183737672,5.355790573181878,1.8674899175147441,2.5810079135621145
cyclonedx-maven-plugin,61.59060846560846,39.81808462552052,44.007887485032946,86.38349726432466,62.14247335631424,68.51826128998547
openrewrite,91.38655462184875,43.48181917717984,52.090459651639826,71.93224964404367,37.019557115862035,43.57353565003878
build-info-go,70.93765496629274,77.27592941558088,69.42519006597244,99.07594957220638,79.29755924221557,85.85058706553846
