analyzer,D_P,D_R,D_F1,T_P,T_R,T_F1
cdxgen,47.7972027972028,28.156368829450084,33.022754253499585,79.65106055198932,58.70252104452596,64.29704103613255
depscan,56.85286935286935,36.75515503894202,40.622665370799645,79.54306509626261,56.27498871509504,62.42876104573457
jbom,24.77475026986719,35.78495861508281,26.777708585614093,4.737814737814738,1.652010311647658,2.2831993081511013
cyclonedx-maven-plugin,56.85286935286935,36.75515503894202,40.622665370799645,79.73861285937662,57.362283098136224,63.24762580614044
openrewrite,49.2081447963801,23.413287249250683,28.048709043190676,38.73274980833121,19.933607677771867,23.462673042328575
build-info-go,43.65394151771861,47.554418101895926,42.72319388675227,60.969815121357776,48.79849799520958,52.83113050186982
