project,analyzer,D_P,D_R,D_F,SIZE,T_P,T_R,T_F,SIZE
CoreNLP,jbom,46.94,100,63.89,23,12.5,5.56,7.69,18
CoreNLP,openrewrite,100,86.96,93.02,23,85.71,66.67,75,18
handlebars.java,build-info-go,0,0,0,0,0,0,0,0
handlebars.java,cdxgen,0,0,0,36,74.75,88.1,80.87,84
handlebars.java,cyclonedx-maven-plugin,40,11.11,17.39,36,77.89,88.1,82.68,84
handlebars.java,depscan,40,11.11,17.39,36,77.89,88.1,82.68,84
handlebars.java,jbom,11.58,30.56,16.79,36,0,0,0,84
handlebars.java,openrewrite,0,0,0,0,0,0,0,0
steady,build-info-go,94.29,42.31,58.41,78,100,76.03,86.38,267
steady,cdxgen,68.18,19.23,30,78,93.72,78.28,85.31,267
steady,cyclonedx-maven-plugin,77.14,34.62,47.79,78,96.62,74.91,84.39,267
steady,depscan,77.14,34.62,47.79,78,96.59,74.16,83.9,267
steady,jbom,7.1,30.77,11.54,78,0,0,0,267
steady,openrewrite,100,5.13,9.76,78,100,0.37,0.75,267
spoon,build-info-go,100,40.91,58.06,22,100,43.75,60.87,32
spoon,cdxgen,100,40.91,58.06,22,100,43.75,60.87,32
spoon,cyclonedx-maven-plugin,100,40.91,58.06,22,100,43.75,60.87,32
spoon,depscan,100,40.91,58.06,22,100,43.75,60.87,32
spoon,jbom,16.85,68.18,27.03,22,0,0,0,32
spoon,openrewrite,100,40.91,58.06,22,93.33,43.75,59.57,32
para,build-info-go,97.78,53.66,69.29,82,84.67,51.79,64.27,224
para,cdxgen,33.33,1.22,2.35,82,86.36,76.34,81.04,224
para,cyclonedx-maven-plugin,60,3.66,6.9,82,86.73,75.89,80.95,224
para,depscan,60,3.66,6.9,82,86.67,75.45,80.67,224
para,jbom,6.71,34.15,11.22,82,0,0,0,224
para,openrewrite,0,0,0,0,0,0,0,0
couchdb-lucene,build-info-go,100,92,95.83,25,100,100,100,51
couchdb-lucene,cdxgen,100,92,95.83,25,100,100,100,51
couchdb-lucene,cyclonedx-maven-plugin,100,92,95.83,25,100,100,100,51
couchdb-lucene,depscan,100,92,95.83,25,100,100,100,51
couchdb-lucene,jbom,48,48,48,25,0,0,0,51
couchdb-lucene,openrewrite,100,92,95.83,25,100,100,100,51
jenkins,build-info-go,100,7.07,13.21,99,87.84,97.5,92.42,200
jenkins,cdxgen,66.67,4.04,7.62,99,91.43,48,62.95,200
jenkins,cyclonedx-maven-plugin,77.78,7.07,12.96,99,92,46,61.33,200
jenkins,depscan,77.78,7.07,12.96,99,92,46,61.33,200
jenkins,jbom,3.91,5.05,4.41,99,65.77,36.5,46.95,200
jenkins,openrewrite,0,0,0,0,0,0,0,0
javaparser,build-info-go,100,27.78,43.48,18,100,21.21,35,33
javaparser,cdxgen,0,0,0,18,71.43,30.3,42.55,33
javaparser,cyclonedx-maven-plugin,40,22.22,28.57,18,90,27.27,41.86,33
javaparser,depscan,40,22.22,28.57,18,90,27.27,41.86,33
javaparser,jbom,24,33.33,27.91,18,0,0,0,33
javaparser,openrewrite,0,0,0,0,0,0,0,0
launch4j-maven-plugin,build-info-go,100,100,100,12,100,100,100,50
launch4j-maven-plugin,cdxgen,100,75,85.71,12,100,86,92.47,50
launch4j-maven-plugin,cyclonedx-maven-plugin,100,75,85.71,12,100,88,93.62,50
launch4j-maven-plugin,depscan,100,75,85.71,12,100,86,92.47,50
launch4j-maven-plugin,jbom,91.67,91.67,91.67,12,0,0,0,50
launch4j-maven-plugin,openrewrite,29.41,41.67,34.48,12,48.84,42,45.16,50
subzero,build-info-go,0,0,0,0,0,0,0,0
subzero,cdxgen,0,0,0,0,0,0,0,0
subzero,cyclonedx-maven-plugin,0,0,0,0,0,0,0,0
subzero,depscan,0,0,0,0,0,0,0,0
subzero,jbom,0,0,0,0,0,0,0,0
subzero,openrewrite,0,0,0,0,0,0,0,0
commons-configuration,build-info-go,0,0,0,0,0,0,0,0
commons-configuration,cdxgen,100,45.45,62.5,33,100,33.33,50,21
commons-configuration,cyclonedx-maven-plugin,100,45.45,62.5,33,100,33.33,50,21
commons-configuration,depscan,100,45.45,62.5,33,100,33.33,50,21
commons-configuration,jbom,0,0,0,0,0,0,0,0
commons-configuration,openrewrite,100,45.45,62.5,33,100,33.33,50,21
jHiccup,build-info-go,0,0,0,0,0,0,0,0
jHiccup,cdxgen,100,50,66.67,2,0,0,0,1
jHiccup,cyclonedx-maven-plugin,100,50,66.67,2,0,0,0,1
jHiccup,depscan,100,50,66.67,2,0,0,0,1
jHiccup,jbom,100,100,100,2,0,0,0,1
jHiccup,openrewrite,100,50,66.67,2,0,0,0,1
