analyzer,D_P,D_R,D_F1,T_P,T_R,T_F1
cdxgen,52.334455667789,24.762860544058316,30.45868247006555,72.00329602284097,57.441252726630495,60.31659771298163
depscan,67.77348166237054,29.507316201770283,37.59189717900478,73.39354343636599,55.773209936964626,59.55249193239325
jbom,26.206878611965088,34.008556956861504,28.20111045138266,4.195028361695028,1.648209035201684,2.192969403007103
cyclonedx-maven-plugin,67.77348166237054,29.507316201770283,37.59189717900478,73.1272966381675,56.43142183588017,59.92339283851751
openrewrite,49.23747276688454,22.291980004467195,26.5514321754894,37.29820351913375,19.195988305019863,22.594983403638384
build-info-go,58.96531452087007,38.334054301379624,43.773203264314425,56.32649928842209,47.48103820534909,49.96036556124097
