analyzer,D_P,D_R,D_F1,T_P,T_R,T_F1
cdxgen,81.59475365358168,56.89815257051437,64.10616962490253,81.59475365358168,56.89815257051437,64.10616962490253
depscan,81.59475365358168,56.89815257051437,64.10616962490253,81.59475365358168,56.89815257051437,64.10616962490253
jbom,24.53119656275271,18.945918424278194,18.28524501901764,24.53119656275271,18.945918424278194,18.28524501901764
cyclonedx-maven-plugin,81.5954462388675,57.086996990231555,64.22146870764715,81.5954462388675,57.086996990231555,64.22146870764715
openrewrite,49.4020181171884,21.604795273762594,25.7731881718274,49.4020181171884,21.604795273762594,25.7731881718274
build-info-go,55.54655671371594,50.279104915728986,52.14993305812982,55.54655671371594,50.279104915728986,52.14993305812982
