Directory;File;Error;comment
/home/aman/experiments/sbom-analysis/tools/Highlight-Automation-Command/../../projects/mybatis-3/.git/objects/pack;pack-b3570d68ee35dc2e75afca16ae7ccc1e4e6e74f5.pack;too big;128175415
/home/aman/experiments/sbom-analysis/tools/Highlight-Automation-Command/../../projects/mybatis-3/.git/objects/pack;pack-b3570d68ee35dc2e75afca16ae7ccc1e4e6e74f5.idx;too big;12086712
