techno;File name; Directory;Extension;resolution mode
MariaDB;CreateDB.sql;src/test/resources/org/apache/ibatis/submitted/complex_type;sql;techno extraction;
MariaDB;CreateDB.sql;src/test/resources/org/apache/ibatis/submitted/foreach_map;sql;techno extraction;
MariaDB;create.sql;src/test/resources/org/apache/ibatis/submitted/inline_association_with_dot;sql;techno extraction;
MariaDB;CreateDB.sql;src/test/resources/org/apache/ibatis/submitted/include_property;sql;techno extraction;
MariaDB;CreateDB.sql;src/test/resources/org/apache/ibatis/submitted/nestedresulthandler_multiple_association;sql;techno extraction;
DB2;blog-derby-schema.sql;src/test/resources/org/apache/ibatis/databases/blog;sql;techno extraction;
DB2;blog-derby-dataload.sql;src/test/resources/org/apache/ibatis/databases/blog;sql;from context with potential techno;
PostgreSQL;CreateDB.sql;src/test/resources/org/apache/ibatis/submitted/refcursor;sql;techno extraction;
PostgreSQL;CreateDB.sql;src/test/resources/org/apache/ibatis/submitted/multiple_resultsets;sql;techno extraction;
