2023-02-02_15:57:11; file; 17; 0; abort; 1_0
2023-02-02_15:57:11; file; 18; 0; filename; src/test/java/org/apache/ibatis/transaction/jdbc/TestConnection.java
2023-02-02_15:57:11; file; 18; 0; lines; 302
2023-02-02_15:57:11; file; 18; 0; basename; TestConnection.java
2023-02-02_15:57:11; file; 18; 0; size; 6860
2023-02-02_15:57:11; file; 18; 0; abort; 1_0
2023-02-02_15:57:11; file; 19; 0; filename; src/test/java/org/apache/ibatis/transaction/jdbc/JdbcTransactionTest.java
2023-02-02_15:57:11; file; 19; 0; lines; 52
2023-02-02_15:57:11; file; 19; 0; basename; JdbcTransactionTest.java
2023-02-02_15:57:11; file; 19; 0; size; 1961
2023-02-02_15:57:11; file; 19; 0; abort; 1_0
2023-02-02_15:57:11; file; 20; 0; filename; src/test/java/org/apache/ibatis/transaction/managed/ManagedTransactionFactoryTest.java
2023-02-02_15:57:11; file; 20; 0; lines; 66
2023-02-02_15:57:11; file; 20; 0; basename; ManagedTransactionFactoryTest.java
2023-02-02_15:57:11; file; 20; 0; size; 2259
2023-02-02_15:57:11; file; 20; 0; abort; 1_0
2023-02-02_15:57:11; file; 21; 0; filename; src/test/java/org/apache/ibatis/plugin/PluginTest.java
2023-02-02_15:57:11; file; 21; 0; lines; 51
2023-02-02_15:57:11; file; 21; 0; basename; PluginTest.java
2023-02-02_15:57:11; file; 21; 0; size; 1459
2023-02-02_15:57:11; file; 21; 0; abort; 1_0
2023-02-02_15:57:11; file; 22; 0; filename; src/test/java/org/apache/ibatis/type/EnumTypeHandlerTest.java
2023-02-02_15:57:11; file; 22; 0; lines; 96
2023-02-02_15:57:11; file; 22; 0; basename; EnumTypeHandlerTest.java
2023-02-02_15:57:11; file; 22; 0; size; 2944
2023-02-02_15:57:11; file; 22; 0; abort; 1_0
2023-02-02_15:57:11; file; 23; 0; filename; src/test/java/org/apache/ibatis/type/YearMonthTypeHandlerTest.java
2023-02-02_15:57:11; file; 23; 0; lines; 85
2023-02-02_15:57:11; file; 23; 0; basename; YearMonthTypeHandlerTest.java
2023-02-02_15:57:11; file; 23; 0; size; 2579
2023-02-02_15:57:11; file; 23; 0; abort; 1_0
2023-02-02_15:57:11; file; 24; 0; filename; src/test/java/org/apache/ibatis/type/BlobInputStreamTypeHandlerTest.java
2023-02-02_15:57:11; file; 24; 0; lines; 176
2023-02-02_15:57:11; file; 24; 0; basename; BlobInputStreamTypeHandlerTest.java
2023-02-02_15:57:11; file; 24; 0; size; 5644
2023-02-02_15:57:11; file; 24; 0; abort; 1_0
2023-02-02_15:57:11; file; 25; 0; filename; src/test/java/org/apache/ibatis/type/TypeAliasRegistryTest.java
2023-02-02_15:57:11; file; 25; 0; lines; 78
2023-02-02_15:57:11; file; 25; 0; basename; TypeAliasRegistryTest.java
2023-02-02_15:57:11; file; 25; 0; size; 2834
2023-02-02_15:57:11; file; 25; 0; abort; 1_0
