Directory;File;Error;comment
/home/aman/spoonlabs/sorald/readme_assets;sorald-demo.mp4;too big;101307306
/home/aman/spoonlabs/sorald/.git/objects/pack;pack-b3aae1a671b75f0061dc09c9cb3cbc9e45f38147.pack;too big;227451805
